id,new,old,radical,strokes,grade,year_added,Unnamed: 7,translation
1,亜,亞,二,7,S,,,-ous (indicating a low oxidation state)
2,哀,,口,9,S,,,sorrow
3,挨,,手,10,S,2010.0,,dust
4,愛,,心,13,4,,,love
5,曖,,日,17,S,2010.0,,faint
6,悪,惡,心,11,3,,,evil
7,握,,手,12,S,,,grip
8,圧,壓,土,5,5,,,pressure
9,扱,,手,6,S,,,handling
10,宛,,宀,8,S,2010.0,,purpose
11,嵐,,山,12,S,2010.0,,storm
12,安,,宀,6,3,,,cheap
13,案,,木,10,4,,,plan
14,暗,,日,13,3,,,dark
15,以,,人,5,4,,,"since (i.e. ""for that reason"")"
16,衣,,衣,6,4,,,clothing
17,位,,人,7,4,,,place
18,囲,圍,囗,7,4,,,enclosure
19,医,醫,酉,7,3,,,medicine
20,依,,人,8,S,,,because of
21,委,,女,8,3,,,committee
22,威,,女,9,S,,,authority
23,為,爲,爪,9,S,,,good
24,畏,,田,9,S,2010.0,,respectfully yours
25,胃,,肉,9,4,,,stomach
26,尉,,寸,11,S,,,rank
27,異,,田,11,6,,,different
28,移,,禾,11,5,,,shift (e.g. in a company)
29,萎,,艸,11,S,2010.0,,withering
30,偉,,人,12,S,,,huge
31,椅,,木,12,S,2010.0,,chair
32,彙,,彐,13,S,2010.0,,kind
33,意,,心,13,3,,,meaning
34,違,,辵,13,S,,,different
35,維,,糸,14,S,,,"this (indicating an item near the speaker, the action of the speaker, or the current topic)"
36,慰,,心,15,S,,,comfort
37,遺,,辵,15,6,,,remains
38,緯,,糸,16,S,,,weft
39,域,,土,11,6,,,region
40,育,,肉,8,3,,,education
41,一,,一,1,1,,,"just (e.g. ""just try it"")"
42,壱,壹,士,7,S,,,one (used in legal documents)
43,逸,逸,辵,11,S,,,anecdote
44,茨,,艸,9,S,2010.0,,thorny shrub
45,芋,,艸,6,S,,,potato
46,引,,弓,4,2,,,pull
47,印,,卩,6,4,,,mark
48,因,,囗,6,5,,,"hetu (direct cause, esp. as opposed to indirect conditions)"
49,咽,,口,9,S,2010.0,,throat
50,姻,,女,9,S,,,marriage
51,員,,口,10,3,,,member
52,院,,阜,10,3,,,"former (esp. of emperors, daimyos, etc.)"
53,淫,,水,11,S,2010.0,,licentiousness
54,陰,,阜,11,S,,,shadow
55,飲,,食,12,3,,,drinking
56,隠,隱,阜,14,S,,,hidden (structural) member
57,韻,,音,19,S,,,rhyme
58,右,,口,5,1,,,right
59,宇,,宀,6,6,,,"counter for buildings, etc."
60,羽,,羽,6,2,,,"blade (fan, propeller, etc.)"
61,雨,,雨,8,1,,,rain
62,唄,,口,10,S,2010.0,,song
63,鬱,,鬯,29,S,2010.0,,depression
64,畝,,田,10,S,,,cord (e.g. corduroy)
65,浦,,水,10,S,,,seashore
66,運,,辵,12,3,,,fortune
67,雲,,雨,12,2,,,cloud
68,永,,水,5,5,,,Eikyuu era (1113.7.13-1118.4.3)
69,泳,,水,8,3,,,swim
70,英,,艸,8,4,,,British
71,映,,日,9,6,,,reflection
72,栄,榮,木,9,4,,,prosperity
73,営,營,火,12,5,,,management
74,詠,,言,12,S,,,poem
75,影,,彡,15,S,,,image
76,鋭,,金,15,S,,,sharpness
77,衛,衞,行,16,5,,,"guards originally stationed at the grand shrine at Ise and shrine at Atsuta, Nagoya to protect the officials there"
78,易,,日,8,5,,,divination
79,疫,,疒,9,S,,,plague
80,益,,皿,10,5,,,more and more
81,液,,水,11,5,,,liquid
82,駅,驛,馬,14,3,,,station
83,悦,,心,10,S,,,self-satisfaction
84,越,,走,12,S,,,over (e.g. eating
85,謁,謁,言,15,S,,,audience (with someone)
86,閲,,門,15,S,,,"counter for long and narrow things such as guns, scissors, spades, hoes, inksticks etc."
87,円,圓,囗,4,1,,,"suffix for names of swords, armour, musical instruments, etc."
88,延,,廴,8,6,,,"En (one of the trigrams of the I Ching: earth, southwest)"
89,沿,,水,8,6,,,along
90,炎,,火,8,S,,,flame
91,怨,,心,9,S,2010.0,,grudge
92,宴,,宀,10,S,,,banquet
93,媛,,女,12,S,2010.0,,young lady
94,援,,手,12,S,,,assistance
95,園,,囗,13,2,,,garden (esp. man-made)
96,煙,,火,13,S,,,smoke
97,猿,,犬,13,S,1981.0,,sliding wooden bolt (for holding a door or window shut)
98,遠,,辵,13,2,,,distant
99,鉛,,金,13,S,,,lead (the metal)
100,塩,鹽,鹵,13,4,,,salt (i.e. sodium chloride)
101,演,,水,14,5,,,performance
102,縁,緣,糸,15,S,,,destiny (esp. as a mysterious force that binds two people together)
103,艶,艷,色,19,S,2010.0,,glaze
104,汚,,水,6,S,,,oceanic whitetip shark (Carcharhinus longimanus)
105,王,,玉,4,1,,,king
106,凹,,凵,5,S,1981.0,,concave
107,央,,大,5,3,,,middle
108,応,應,心,7,5,,,all right
109,往,,彳,8,5,,,yes
110,押,,手,8,S,,,authority
111,旺,,日,8,S,2010.0,,Want.
112,欧,歐,欠,8,S,,,Europe
113,殴,毆,殳,8,S,,,hit
114,桜,櫻,木,10,5,,,cherry tree
115,翁,,羽,10,S,,,old
116,奥,奧,大,12,S,,,inside
117,横,橫,木,15,3,,,"side (of a box, etc.)"
118,岡,,山,8,S,2010.0,,bonus points awarded to the winner at the end of a game (mahjong)
119,屋,,尸,9,3,,,roof
120,億,,人,15,4,,,hundred million
121,憶,,心,16,S,,,conjecture
122,臆,,肉,17,S,2010.0,,cowardice
123,虞,,虍,13,S,,,concern
124,乙,,乙,1,S,,,second (party to an agreement)
125,俺,,人,10,S,2010.0,,I
126,卸,,卩,9,S,,,"new tools (or clothes, etc.)"
127,音,,音,9,1,,,sound
128,恩,,心,10,5,,,favour
129,温,溫,水,12,3,,,dummy
130,穏,穩,禾,16,S,,,gentle
131,下,,一,3,1,,,under (esp. influence or guidance)
132,化,,匕,4,3,,,action of making something
133,火,,火,4,1,,,fire
134,加,,力,5,4,,,increase
135,可,,口,5,5,,,acceptable
136,仮,假,人,6,5,,,temporary
137,何,,人,7,2,,,what
138,花,,艸,7,1,,,blooming (esp. of cherry blossoms)
139,佳,,人,8,S,,,good
140,価,價,人,8,5,,,value
141,果,,木,8,4,,,end
142,河,,水,8,5,,,the .... river
143,苛,,艸,8,S,2010.0,,a hard time
144,科,,禾,9,2,,,section (i.e. of text)
145,架,,木,9,S,,,mount
146,夏,,夊,10,2,,,summer
147,家,,宀,10,2,,,"-ist (used after a noun indicating someone's occupation, pursuits, disposition, etc.)"
148,荷,,艸,10,3,,,load
149,華,,艸,10,S,,,blooming (esp. of cherry blossoms)
150,菓,,艸,11,S,,,counter for fruit
151,貨,,貝,11,4,,,treasure
152,渦,,水,12,S,1981.0,,vortex
153,過,,辵,12,5,,,over-
154,嫁,,女,13,S,,,wife
155,暇,,日,13,S,,,(of one's business) slow
156,禍,禍,示,13,S,,,disaster
157,靴,,革,13,S,1981.0,,shoes
158,寡,,宀,14,S,,,divorced woman not remarried
159,歌,,欠,14,2,,,song
160,箇,,竹,14,S,,,counter for the ichi-ni-san counting system (usu. directly preceding the item being counted)
161,稼,,禾,15,S,1981.0,,earnings
162,課,,言,15,4,,,section (in an organization)
163,蚊,,虫,10,S,,,mosquito
164,牙,,牙,4,S,2010.0,,fang
165,瓦,,瓦,5,S,2010.0,,roof tile
166,我,,戈,7,6,,,our
167,画,畫,田,8,2,,,picture
168,芽,,艸,8,4,,,sprout
169,賀,,貝,12,5,,,congratulation
170,雅,,隹,13,S,,,elegance
171,餓,,食,15,S,,,hunger
172,介,,人,4,S,,,help
173,回,,囗,6,2,,,"counter for games, rounds, etc."
174,灰,,火,6,6,,,ash
175,会,會,曰,6,2,,,association
176,快,,心,7,5,,,pleasure
177,戒,,戈,7,S,,,commandment
178,改,,攴,7,4,,,revision
179,怪,,心,8,S,,,mystery
180,拐,,手,8,S,1981.0,,kidnap
181,悔,悔,心,9,S,,,regret
182,海,海,水,9,2,,,sea
183,界,,田,9,3,,,boundary
184,皆,,白,9,S,,,everyone
185,械,,木,11,4,,,hoarding
186,絵,繪,糸,12,2,,,drawing
187,開,,門,12,3,,,opening
188,階,,阜,12,3,,,floor
189,塊,,土,13,S,,,mass
190,楷,,木,13,S,2010.0,,block
191,解,,角,13,5,,,solution (of equation)
192,潰,,水,15,S,2010.0,,wasteful
193,壊,壞,土,16,S,,,breaking
194,懐,懷,心,16,S,,,bosom
195,諧,,言,16,S,2010.0,,"collective name for haiku, haibun, haiga, senryū, etc."
196,貝,,貝,7,1,,,"Japanese babylon (species of shelled mollusk, Babylonia japonica)"
197,外,,夕,5,2,,,outside
198,劾,,力,8,S,,,impeachment
199,害,,宀,10,4,,,harm
200,崖,,山,11,S,2010.0,,cliff
201,涯,,水,11,S,1981.0,,horizon
202,街,,行,12,4,,,street
203,慨,慨,心,13,S,,,deploring
204,蓋,,艸,13,S,2010.0,,lid
205,該,,言,13,S,,,said
206,概,槪,木,14,S,,,general
207,骸,,骨,16,S,2010.0,,chaff
208,垣,,土,9,S,1981.0,,fence
209,柿,,木,9,S,2010.0,,kaki
210,各,,口,6,4,,,each
211,角,,角,7,2,,,"corner (e.g. desk, pavement)"
212,拡,擴,手,8,6,,,expansion
213,革,,革,9,6,,,leather
214,格,,木,10,5,,,case
215,核,,木,10,S,,,nuclear
216,殻,殼,殳,11,S,1981.0,,shell
217,郭,,邑,11,S,,,quarter
218,覚,覺,見,12,4,,,a mythical being that can read minds
219,較,,車,13,S,,,comparison
220,隔,,阜,13,S,,,second
221,閣,,門,14,6,,,"counter for buildings, apartments, etc."
222,確,,石,15,5,,,certain
223,獲,,犬,16,S,,,catch
224,嚇,,口,17,S,,,threaten
225,穫,,禾,18,S,,,crop
226,学,學,子,8,1,,,learning
227,岳,嶽,山,8,S,,,peak
228,楽,樂,木,13,2,,,raku
229,額,,頁,18,5,,,forehead
230,顎,,頁,18,S,2010.0,,jaw
231,掛,,手,11,S,,,"able-to-seat (of a chair, etc.)"
232,潟,,水,15,S,1981.0,,lagoon
233,括,,手,9,S,,,bundle
234,活,,水,9,2,,,life
235,喝,喝,口,11,S,1981.0,,exclamation used to scold practitioners (in Zen)
236,渇,渴,水,11,S,,,thirst
237,割,,刀,12,6,,,rate
238,葛,,艸,12,S,2010.0,,creeping plant
239,滑,,水,13,S,,,"smooth (skin, etc.)"
240,褐,褐,衣,13,S,1981.0,,brown
241,轄,,車,17,S,,,wedge
242,且,,一,5,S,,,furthermore
243,株,,木,10,6,,,"strain (of bacteria, etc.)"
244,釜,,金,10,S,2010.0,,iron pot
245,鎌,,金,18,S,2010.0,,sickle
246,刈,,刀,4,S,,,cut
247,干,,干,3,6,,,dried
248,刊,,刀,5,5,,,publication
249,甘,,甘,5,S,,,sweet
250,汗,,水,6,S,,,sweat
251,缶,罐,缶,6,S,1981.0,,can
252,完,,宀,7,4,,,Finis
253,肝,,肉,7,S,,,liver
254,官,,宀,8,4,,,the bureaucracy
255,冠,,冖,9,S,,,cap (esp. a traditional cap worn with sokutai or ikan clothing)
256,巻,卷,卩,9,6,,,winding
257,看,,目,9,6,,,"looking through (e.g. a window, vestibule, etc.)"
258,陥,陷,阜,10,S,,,trap
259,乾,,乙,11,S,,,drying
260,勘,,力,11,S,,,intuition
261,患,,心,11,S,,,anxiety
262,貫,,貝,11,S,,,kan (obs. unit of currency)
263,寒,,宀,12,3,,,cold
264,喚,,口,12,S,,,call
265,堪,,土,12,S,,,patience
266,換,,手,12,S,,,exchange
267,敢,,攴,12,S,,,decisiveness
268,棺,,木,12,S,,,coffin
269,款,,欠,12,S,,,clause
270,間,,門,12,2,,,between- (e.g. two people)
271,閑,,門,12,S,,,(of one's business) slow
272,勧,勸,力,13,S,,,recommendation
273,寛,寬,宀,13,S,,,gentle
274,幹,,干,13,5,,,stem
275,感,,心,13,3,,,feeling
276,漢,漢,水,13,3,,,China (sometimes also used in ref. to Korea or other foreign countries)
277,慣,,心,14,5,,,accustomizing
278,管,,竹,14,4,,,pipe
279,関,關,門,14,4,,,barrier
280,歓,歡,欠,15,S,,,joy
281,監,,皿,15,S,,,special Nara-period administrative division for areas containing a detached palace (Yoshino and Izumi)
282,緩,,糸,15,S,,,lenient
283,憾,,心,16,S,,,regrettable
284,還,,辵,16,S,,,returning
285,館,,食,16,3,,,mansion
286,環,,玉,17,S,,,bracelet (made of stringed jewels or bells and worn at the elbow)
287,簡,,竹,18,6,,,simplicity
288,観,觀,見,18,4,,,view
289,韓,,韋,18,S,2010.0,,China (sometimes also used in ref. to Korea or other foreign countries)
290,艦,,舟,21,S,,,warship
291,鑑,,金,23,S,,,model
292,丸,,丶,3,2,,,"suffix for names of swords, armour, musical instruments, etc."
293,含,,口,7,S,,,including
294,岸,,山,8,3,,,shore
295,岩,,山,8,2,,,crag
296,玩,,玉,8,S,2010.0,,"play with (a toy, one's hair, etc.)"
297,眼,,目,11,5,,,eye
298,頑,,頁,13,S,1981.0,,obstinate
299,顔,,頁,18,2,,,face
300,願,,頁,19,4,,,wish
301,企,,人,6,S,,,plan
302,伎,,人,6,S,2010.0,,skill
303,危,,卩,6,6,,,danger
304,机,,木,6,6,,,desk
305,気,氣,气,6,1,,,seeming to be
306,岐,,山,7,S,,,"the street (e.g. ""word on the street"")"
307,希,,巾,7,4,,,seldom
308,忌,,心,7,S,,,holy
309,汽,,水,7,2,,,steam
310,奇,,大,8,S,,,unconventional
311,祈,祈,示,8,S,,,prayer
312,季,,子,8,4,,,season
313,紀,,糸,9,4,,,period
314,軌,,車,9,S,,,gauge
315,既,既,无,10,S,,,already
316,記,,言,10,2,,,record
317,起,,走,10,3,,,cause
318,飢,,食,10,S,,,hunger
319,鬼,,鬼,10,S,,,ogre
320,帰,歸,止,10,2,,,return
321,基,,土,11,5,,,"counter for installed or mounted objects (e.g. stone lanterns, gravestones, satellites)"
322,寄,,宀,11,5,,,coming together
323,規,,見,11,5,,,"counter for long, thin things (i.e. swords)"
324,亀,龜,龜,11,S,2010.0,,turtle
325,喜,,口,12,4,,,joy
326,幾,,幺,12,S,,,many
327,揮,,手,12,6,,,volatilization
328,期,,月,12,3,,,period
329,棋,,木,12,S,,,go (board game of capturing territory)
330,貴,,貝,12,6,,,honorific title for deities (and high-ranking people)
331,棄,,木,13,S,,,"scraps of food, batter, etc. remaining in a wooden box"
332,毀,,殳,13,S,2010.0,,nick
333,旗,,方,14,4,,,flag
334,器,器,口,15,4,,,device
335,畿,,田,15,S,2010.0,,(in Japanese history) the five kuni in the immediate vicinity of Kyoto
336,輝,,車,15,S,,,brilliance
337,機,,木,16,4,,,machine
338,騎,,馬,18,S,,,counter for horsemen
339,技,,手,7,5,,,art
340,宜,,宀,8,S,,,indeed
341,偽,僞,人,11,S,,,counterfeit
342,欺,,欠,12,S,,,deception
343,義,,羊,13,5,,,righteousness
344,疑,,疋,14,6,,,doubt
345,儀,,人,15,S,,,"with regard to (used after a person's name, a personal pronoun, etc.)"
346,戯,戲,戈,15,S,,,tomfoolery
347,擬,,手,17,S,,,quasi-
348,犠,犧,牛,17,S,,,sacrifice
349,議,,言,20,4,,,discussion
350,菊,,艸,11,S,,,chrysanthemum (Chrysanthemum morifolium)
351,吉,,口,6,S,,,good luck
352,喫,,口,12,S,,,eating
353,詰,,言,13,S,,,sweet eel sauce
354,却,,卩,7,S,,,rejection
355,客,,宀,9,3,,,visitor
356,脚,,肉,11,S,,,leg
357,逆,,辵,9,5,,,reverse
358,虐,,虍,9,S,,,abuse
359,九,,乙,2,1,,,nine
360,久,,丿,3,5,,,long time (ago)
361,及,,又,3,S,,,over
362,弓,,弓,3,2,,,bow (and arrow)
363,丘,,一,5,S,,,hill
364,旧,舊,臼,5,5,,,former
365,休,,人,6,1,,,holiday
366,吸,,口,6,6,,,sucking
367,朽,,木,6,S,,,rotten
368,臼,,臼,6,S,2010.0,,mortar
369,求,,水,7,4,,,demand
370,究,,穴,7,3,,,study
371,泣,,水,8,4,,,weeping
372,急,,心,9,3,,,rapid
373,級,,糸,9,3,,,school class
374,糾,,糸,9,S,,,wrasse (any fish of family Labridae)
375,宮,,宀,10,3,,,"ancient Chinese punishment (castration for men, or confinement for women)"
376,救,,攴,11,4,,,help
377,球,,玉,11,3,,,ball (i.e. a testicle)
378,給,,糸,12,4,,,wage
379,嗅,,口,13,S,2010.0,,smell
380,窮,,穴,15,S,,,dilemma
381,牛,,牛,4,2,,,cattle (Bos taurus)
382,去,,厶,5,3,,,"last ... (e.g. ""last April"")"
383,巨,,工,5,S,,,big
384,居,,尸,8,5,,,sitting
385,拒,,手,8,S,,,protecting
386,拠,據,手,8,S,,,something upon which to rely
387,挙,擧,手,10,4,,,the raising of (e.g. flag)
388,虚,虛,虍,11,S,,,sky
389,許,,言,11,5,,,"(after the -ta form of a verb) just (finished, etc.)"
390,距,,足,12,S,,,tubular nectary
391,魚,,魚,11,2,,,fish
392,御,,彳,12,S,,,august
393,漁,,水,14,4,,,fishing
394,凶,,凵,4,S,,,wickedness
395,共,,八,6,4,,,both
396,叫,,口,6,S,,,shout
397,狂,,犬,7,S,,,somebody possessed of a (certain kind of) mental abnormality
398,京,,亠,8,2,,,"10,000,000,000,000,000,000"
399,享,,亠,8,S,,,enjoyment
400,供,,人,8,6,,,attendant
401,協,,十,8,4,,,cooperation
402,況,,水,8,S,,,situation
403,峡,峽,山,9,S,,,ravine
404,挟,挾,手,9,S,1981.0,,"side (e.g. of triangle, rectangle, etc.)"
405,狭,狹,犬,9,S,,,being cramped
406,恐,,心,10,S,,,yours sincerely (used to sign off on letters)
407,恭,,心,10,S,,,respect
408,胸,,肉,10,6,,,chest
409,脅,,肉,10,S,,,threat
410,強,,弓,11,2,,,a little over
411,教,,攴,11,2,,,teaching
412,郷,鄕,邑,11,6,,,one's past
413,境,,土,14,5,,,environment
414,橋,,木,16,3,,,bridge
415,矯,,矢,17,S,1981.0,,cure
416,鏡,,金,19,4,,,mirror
417,競,,立,20,4,,,competition
418,響,響,音,20,S,,,"quality of a sound (e.g. a fine phrase, clear voice, resonant bell)"
419,驚,,馬,22,S,,,surprise
420,仰,,人,6,S,,,look up (e.g. to an emperor)
421,暁,曉,日,12,S,,,dawn
422,業,,木,13,3,,,"work (i.e. performance, words, actions, etc.)"
423,凝,,冫,16,S,,,unpleasant feeling
424,曲,,曰,6,3,,,a shade
425,局,,尸,7,3,,,"office (e.g. post, telephone)"
426,極,,木,12,4,,,very
427,玉,,玉,5,1,,,"bead (of sweat, dew, etc.)"
428,巾,,巾,3,S,2010.0,,range (e.g. of voice)
429,斤,,斤,4,S,,,unit of weight ~600g
430,均,,土,7,5,,,equal
431,近,,辵,7,2,,,near
432,金,,金,8,1,,,money (written before an amount)
433,菌,,艸,11,S,,,bacillus
434,勤,勤,力,12,6,,,Buddhist religious service
435,琴,,玉,12,S,,,guzheng
436,筋,,竹,12,6,,,(Edo period) counter for hundreds of mon (obsolete unit of currency)
437,僅,,人,13,S,2010.0,,merely
438,禁,,示,13,5,,,ban (e.g. on smoking)
439,緊,,糸,15,S,,,tightly
440,錦,,金,16,S,2010.0,,brocade
441,謹,謹,言,17,S,,,respectfully yours
442,襟,,衣,18,S,1981.0,,collar
443,吟,,口,7,S,,,(in Japan) 2nd note of the ancient chromatic scale (approx. D sharp)
444,銀,,金,14,3,,,silver
445,区,區,匸,4,3,,,district
446,句,,口,5,5,,,verse (of 5 or 7 mora in Japanese poetry)
447,苦,,艸,8,3,,,anguish
448,駆,驅,馬,14,S,,,"counter for runs (buses, trains, etc.)"
449,具,,八,8,3,,,"counter for armor (armour), suits, sets of furniture"
450,惧,,心,11,S,2010.0,,apprehension
451,愚,,心,13,S,,,folly
452,空,,穴,8,1,,,hollow
453,偶,,人,11,S,,,rare
454,遇,,辵,12,S,,,reception
455,隅,,阜,12,S,1981.0,,corner
456,串,,丨,7,S,2010.0,,skewer
457,屈,,尸,8,S,,,bend
458,掘,,手,11,S,,,digging
459,窟,,穴,13,S,2010.0,,caves dug as tombs in and around Kamakura during the Kamakura and Muromachi periods
460,熊,,火,14,S,2010.0,,bear (animal)
461,繰,,糸,19,S,,,transfer (e.g. money)
462,君,,口,7,3,,,you
463,訓,,言,10,4,,,lesson
464,勲,勳,力,15,S,,,distinguished service
465,薫,薰,艸,16,S,,,pleasant smell
466,軍,,車,9,4,,,force
467,郡,,邑,10,4,,,county
468,群,,羊,13,5,,,group
469,兄,,儿,5,2,,,used after the name of someone who is an older brother figure
470,刑,,刀,6,S,,,penalty
471,形,,彡,7,2,,,form
472,系,,糸,7,6,,,system (range of strata that correspond to a particular time period)
473,径,徑,彳,8,4,,,"the way (of proper conduct, etc.)"
474,茎,莖,艸,8,S,,,stem
475,係,,人,9,3,,,charge
476,型,,土,9,4,,,"type (e.g. of machine, goods, etc.)"
477,契,,大,9,S,,,vow
478,計,,言,9,2,,,plan
479,恵,惠,心,10,S,,,prajñā (one of the three divisions of the noble eightfold path)
480,啓,,口,11,S,,,revelation
481,掲,揭,手,11,S,,,the (imperial) court
482,渓,溪,水,11,S,1981.0,,valley
483,経,經,糸,11,5,,,the vertical (i.e. in vertical Japanese writing)
484,蛍,螢,虫,11,S,1981.0,,lightning bug
485,敬,,攴,12,6,,,respect
486,景,,日,12,4,,,view
487,軽,輕,車,12,3,,,light
488,傾,,人,13,S,,,slanted (view of the world)
489,携,,手,13,S,,,handbag
490,継,繼,糸,13,S,,,successor
491,詣,,言,13,S,2010.0,,"visit (to a religious site, e.g. shrine, temple, grave)"
492,慶,,心,15,S,,,Kei era (1648.2.15-1652.9.18)
493,憬,,心,15,S,2010.0,,aspiration
494,稽,,禾,15,S,2010.0,,"bowing one's head (or shoulders, etc.)"
495,憩,,心,16,S,,,rest
496,警,,言,19,6,,,guard
497,鶏,鷄,鳥,19,S,,,chicken (meat)
498,芸,藝,艸,7,4,,,art
499,迎,,辵,7,S,,,welcome
500,鯨,,魚,19,S,,,whale (Cetacea spp.)
501,隙,,阜,13,S,2010.0,,breach (of a relationship between people)
502,劇,,刀,15,6,,,play
503,撃,擊,手,15,S,,,blow
504,激,,水,16,6,,,"intensity (e.g. radiation, light)"
505,桁,,木,10,S,2010.0,,digit
506,欠,缺,缶,4,4,,,lack
507,穴,,穴,5,6,,,hole
508,血,,血,6,3,,,blood
509,決,,水,7,3,,,decision
510,結,,糸,12,4,,,conclusion
511,傑,,人,13,S,,,outstanding
512,潔,,水,15,5,,,purity
513,月,,月,4,1,,,month
514,犬,,犬,4,1,,,"snoop (i.e. a detective, a spy, etc.)"
515,件,,人,6,5,,,the aforesaid
516,見,,見,7,1,,,"view (of life, etc.)"
517,券,,刀,8,5,,,ticket
518,肩,,肉,8,S,,,shoulder
519,建,,廴,9,4,,,commitment
520,研,硏,石,9,3,,,study
521,県,縣,糸,9,3,,,"territory (pre-Taika: under the Yamato court; Heian: under a provincial governor, etc.)"
522,倹,儉,人,10,S,,,economizing
523,兼,,八,10,S,,,and
524,剣,劍,刀,10,S,,,sword (originally esp. a doubled-edged sword)
525,拳,,手,10,S,2010.0,,fist
526,軒,,車,10,S,,,eaves
527,健,,人,11,4,,,strength
528,険,險,阜,11,5,,,steepness
529,圏,圈,囗,12,S,,,circle
530,堅,,土,12,S,,,firmness
531,検,檢,木,12,5,,,inspection
532,嫌,,女,13,S,1981.0,,unpleasant
533,献,獻,犬,13,S,,,offering
534,絹,,糸,13,6,,,silk
535,遣,,辵,13,S,,,sending
536,権,權,木,15,6,,,authority
537,憲,,心,16,6,,,constitution
538,賢,,貝,16,S,,,intelligence
539,謙,,言,17,S,,,humility
540,鍵,,金,17,S,2010.0,,key
541,繭,,糸,18,S,,,cocoon
542,顕,顯,頁,18,S,,,open
543,験,驗,馬,18,4,,,test
