id,new,old,radical,strokes,grade,year_added,Unnamed: 7,translation
544,懸,,心,20,S,,,"able-to-seat (of a chair, etc.)"
545,元,,儿,4,2,,,(somebody's) location
546,幻,,幺,4,S,,,illusion
547,玄,,玄,5,S,,,Genji (member of a pre-WWII body that informally advised the emperor)
548,言,,言,7,2,,,remark
549,弦,,弓,8,S,,,"string (of shamisen, guitar, violin, etc.)"
550,限,,阜,9,5,,,"counter for cuts (e.g. fish, meat)"
551,原,,厂,10,2,,,original
552,現,,玉,11,5,,,"present (e.g. government, administration)"
553,舷,,舟,11,S,2010.0,,gunwale
554,減,,水,12,5,,,reduction
555,源,,水,13,6,,,source
556,厳,嚴,口,17,6,,,strict
557,己,,己,3,6,,,oneself
558,戸,,戶,4,2,,,counter for houses
559,古,,口,5,2,,,old
560,呼,,口,8,6,,,call
561,固,,囗,8,4,,,firm (not viscous or easily moved)
562,股,,肉,8,S,2010.0,,"fork (in a tree, road, river, etc.)"
563,虎,,虍,8,S,2010.0,,tiger (Panthera tigris)
564,孤,,子,9,S,,,orphan
565,弧,,弓,9,S,,,arc
566,故,,攴,9,5,,,reason
567,枯,,木,9,S,,,withered
568,個,,人,10,5,,,counter for the ichi-ni-san counting system (usu. directly preceding the item being counted)
569,庫,,广,10,3,,,warehouse
570,湖,,水,12,3,,,lake
571,雇,,隹,12,S,,,employment
572,誇,,言,13,S,,,boast
573,鼓,,鼓,13,S,,,hand drum
574,錮,,金,16,S,2010.0,,imprisonment
575,顧,,頁,21,S,,,reconsidering
576,五,,二,4,1,,,five
577,互,,二,4,S,,,reciprocal
578,午,,十,4,2,,,"seventh sign of Chinese zodiac (The Horse, 11am-1pm, south, May)"
579,呉,,口,7,S,,,Wu (dynasty of China; 918-1392 CE)
580,後,,彳,9,2,,,after
581,娯,,女,10,S,,,enjoyment
582,悟,,心,10,S,,,comprehension
583,碁,,石,13,S,,,go (board game of capturing territory)
584,語,,言,14,2,,,language
585,誤,,言,14,6,,,error
586,護,,言,20,5,,,protection
587,口,,口,3,1,,,opening (i.e. vacancy)
588,工,,工,3,2,,,craft
589,公,,八,4,2,,,public
590,勾,,勹,4,S,2010.0,,"fetlock (horse, etc.)"
591,孔,,子,4,S,,,hole
592,功,,力,5,4,,,meritorious deed
593,巧,,工,5,S,,,skill
594,広,廣,广,5,2,,,wide
595,甲,,田,5,S,,,the A party (e.g. in a contract)
596,交,,亠,6,2,,,interleague
597,光,,儿,6,2,,,light
598,向,,口,6,3,,,facing
599,后,,口,6,6,,,empress
600,好,,女,6,4,,,good
601,江,,水,6,S,,,bay
602,考,,老,6,2,,,thought
603,行,,行,6,2,,,row
604,坑,,土,7,S,,,pit (esp. of a mine)
605,孝,,子,7,6,,,filial piety
606,抗,,手,7,S,,,anti-
607,攻,,攴,7,S,,,offence
608,更,,曰,7,S,,,one-fifth of the night (approx. 2 hours)
609,効,效,力,8,5,,,efficiency
610,幸,,干,8,3,,,happiness
611,拘,,手,8,S,,,fetters
612,肯,,肉,8,S,,,consent
613,侯,,人,9,S,,,marquis
614,厚,,厂,9,5,,,thickness
615,恒,恆,心,9,S,,,constancy
616,洪,,水,9,S,1981.0,,flood
617,皇,,白,9,6,,,the (Japanese) empire
618,紅,,糸,9,6,,,red
619,荒,,艸,9,S,,,rough
620,郊,,邑,9,S,,,suburb
621,香,,香,9,S,,,smell (esp. a good smell)
622,候,,人,10,4,,,weather
623,校,,木,10,1,,,"proof (of a book, document, etc.)"
624,耕,,耒,10,5,,,cultivation
625,航,,舟,10,4,,,sailing
626,貢,,貝,10,S,,,tribute
627,降,,阜,10,6,,,descending
628,高,,高,10,2,,,amount of money
629,康,,广,11,4,,,Kou
630,控,,手,11,S,,,not to write to or visit someone (e.g. someone's home)
631,梗,,木,11,S,2010.0,,stalk
632,黄,黃,黃,11,2,,,yellow
633,喉,,口,12,S,2010.0,,throat
634,慌,,心,12,S,,,flustered
635,港,,水,12,3,,,port
636,硬,,石,12,S,,,hardness
637,絞,,糸,12,S,,,wringer (clothes)
638,項,,頁,12,S,,,paragraph
639,溝,,水,13,S,1981.0,,groove
640,鉱,鑛,金,13,5,,,ore
641,構,,木,14,5,,,paper mulberry (Broussonetia papyrifera)
642,綱,,糸,14,S,,,grand champion's braided belt
643,酵,,酉,14,S,,,enzyme
644,稿,,禾,15,S,,,draft
645,興,,臼,16,5,,,interest
646,衡,,行,16,S,,,yoke
647,鋼,,金,16,6,,,steel
648,講,,言,17,5,,,mutual assistance association (i.e. for financial assistance)
649,購,,貝,17,S,,,purchase
650,乞,,乙,3,S,2010.0,,begging
651,号,號,虍,5,3,,,issue
652,合,,口,6,2,,,one-tenth of the way from the base to the summit of a mountain
653,拷,,手,9,S,,,torture
654,剛,,刀,10,S,,,hard
655,傲,,人,13,S,2010.0,,arrogance
656,豪,,豕,14,S,,,Australia
657,克,,儿,7,S,,,mastery
658,告,,口,7,4,,,notice
659,谷,,谷,7,2,,,valley
660,刻,,刀,8,6,,,time
661,国,國,囗,8,2,,,"home (i.e. hometown, home country)"
662,黒,黑,黑,11,2,,,black
663,穀,穀,禾,14,6,,,grain
664,酷,,酉,14,S,,,unfair
665,獄,,犬,14,S,,,prison
666,骨,,骨,10,6,,,bone
667,駒,,馬,15,S,2010.0,,foal
668,込,,辵,5,S,,,"room for entertaining someone (esp. a geisha, prostitute, etc.)"
669,頃,,頁,11,S,2010.0,,about
670,今,,人,4,2,,,this
671,困,,囗,7,6,,,trouble
672,昆,,日,8,S,1981.0,,"kun (one of the trigrams of the I Ching: earth, southwest)"
673,恨,,心,9,S,,,I regret that
674,根,,木,10,3,,,"root (of a tooth, hair, etc.)"
675,婚,,女,11,S,,,creeping at night into a woman's bedroom
676,混,,水,11,5,,,mixed
677,痕,,疒,11,S,2010.0,,"scar (e.g. from operation, injection)"
678,紺,,糸,11,S,,,navy blue
679,魂,,鬼,14,S,,,soul
680,墾,,土,16,S,,,new
681,懇,,心,17,S,,,courteous
682,左,,工,5,1,,,left
683,佐,,人,7,S,,,colonel (JSDF)
684,沙,,水,7,S,2010.0,,sand
685,査,,木,9,5,,,examination
686,砂,,石,9,6,,,sand
687,唆,,口,10,S,,,instigation
688,差,,工,10,4,,,between (e.g. two people)
689,詐,,言,12,S,,,swindle
690,鎖,,金,18,S,,,chains
691,座,,广,10,6,,,"attaches to the names of theatres, theatrical troupes, and constellations"
692,挫,,手,10,S,2010.0,,sprain
693,才,,手,3,2,,,talent
694,再,,冂,6,5,,,deutero-
695,災,,火,7,5,,,disaster
696,妻,,女,8,5,,,wife
697,采,,釆,8,S,2010.0,,die
698,砕,碎,石,9,S,,,familiar (informal) (speech style)
699,宰,,宀,10,S,,,government official
700,栽,,木,10,S,,,planting
701,彩,,彡,11,S,,,color
702,採,,手,11,5,,,harvesting
703,済,濟,水,11,6,,,settled
704,祭,,示,11,3,,,festival
705,斎,齋,齊,11,S,,,congratulatory gift
706,細,,糸,11,2,,,detail
707,菜,,艸,11,4,,,vegetables
708,最,,曰,12,4,,,the most
709,裁,,衣,12,6,,,judge
710,債,,人,13,S,,,loan
711,催,,人,13,S,,,"holding (a meeting, event, etc.)"
712,塞,,土,13,S,2010.0,,damselfly
713,歳,,止,13,S,,,counter for years (following a number in the hito-futa-mi counting system)
714,載,,車,13,S,,,10^44
715,際,,阜,14,5,,,time
716,埼,,土,11,S,2010.0,,small peninsula
717,在,,土,6,5,,,country
718,材,,木,7,4,,,(raw) material
719,剤,劑,刀,10,S,,,agent
720,財,,貝,10,5,,,goods
721,罪,,网,13,5,,,sin
722,崎,,山,11,S,1981.0,,cape (on coast)
723,作,,人,7,2,,,work (e.g. of art)
724,削,,刀,9,S,,,shave (wood or leather)
725,昨,,日,9,4,,,last (year)
726,柵,,木,9,S,2010.0,,fence
727,索,,糸,10,S,,,rope
728,策,,竹,12,6,,,policy
729,酢,,酉,12,S,,,vinegar
730,搾,,手,13,S,,,squeezing
731,錯,,金,16,S,,,scrubbing
732,咲,,口,9,S,,,blooming (esp. of cherry blossoms)
733,冊,,冂,5,6,,,volume
734,札,,木,5,4,,,bill
735,刷,,刀,8,4,,,printing
736,刹,,刀,8,S,2010.0,,pagoda
737,拶,,手,9,S,2010.0,,Japanese sardinella (Sardinella zunasi)
738,殺,殺,殳,10,4,,,murder
739,察,,宀,14,4,,,police
740,撮,,手,15,S,,,a pinch (e.g. of salt)
741,擦,,手,17,S,,,rub
742,雑,雜,隹,14,5,,,miscellany (classification of Japanese poetry)
743,皿,,皿,5,3,1981.0,,dish
744,三,,一,3,1,,,three
745,山,,山,3,1,,,mountain
746,参,參,厶,8,4,,,three (used in legal documents)
747,桟,棧,木,10,S,1981.0,,sheathing (under thatched roofing)
748,蚕,蠶,虫,10,6,,,silkworm (Bombyx mori)
749,惨,慘,心,11,S,,,terrible
750,産,,生,11,4,,,property
751,傘,,人,12,S,1981.0,,umbrella
752,散,,攴,12,4,,,coins
753,算,,竹,14,2,,,divining sticks
754,酸,,酉,14,5,,,acid
755,賛,贊,貝,15,5,,,inscription (on a painting)
756,残,殘,歹,10,4,,,remaining
757,斬,,斤,11,S,2010.0,,beheading
758,暫,,日,15,S,,,short while
759,士,,士,3,4,,,warrior (esp. of military retainers of daimyos in the Edo period)
760,子,,子,3,1,,,"(in broth) pieces of meat, vegetable, etc."
761,支,,支,4,5,,,support
762,止,,止,4,2,,,(after the -masu stem of a verb) stopped in the midst of
763,氏,,氏,4,4,,,he
764,仕,,人,5,3,,,civil service
765,史,,口,5,4,,,history (e.g. of some country)
766,司,,口,5,4,,,office (government department beneath a bureau under the ritsuryo system)
767,四,,囗,5,1,,,four
768,市,,巾,5,2,,,market
769,矢,,矢,5,2,,,arrow
770,旨,,日,6,S,,,gist
771,死,,歹,6,3,,,death
772,糸,絲,糸,6,1,,,thread
773,至,,至,6,6,,,...
774,伺,,人,7,S,,,visit
775,志,,心,7,5,,,will
776,私,,禾,7,6,,,I (mainly used by working men)
777,使,,人,8,3,,,messenger
778,刺,,刀,8,S,,,splinter (esp. lodged in one's flesh)
779,始,,女,8,3,,,beginning
780,姉,,女,8,2,,,used after the name of someone who is an older sister figure
781,枝,,木,8,5,,,branch
782,祉,祉,示,8,S,,,"counter for ships, octopuses and squid"
783,肢,,肉,8,S,1981.0,,gait
784,姿,,女,9,6,,,figure
785,思,,心,9,2,,,thought
786,指,,手,9,3,,,finger
787,施,,方,9,S,,,charity
788,師,,巾,10,5,,,teacher
789,恣,,心,10,S,2010.0,,self-indulgent
790,紙,,糸,10,2,,,paper
791,脂,,肉,10,S,,,fat
792,視,視,見,11,6,,,visual
793,紫,,糸,12,S,,,purple
794,詞,,言,12,6,,,words
795,歯,齒,齒,12,3,,,tooth
796,嗣,,口,13,S,,,heir
797,試,,言,13,4,,,test
798,詩,,言,13,3,,,poem
799,資,,貝,13,5,,,one's position
800,飼,,食,13,5,,,tending to (e.g. an animal)
801,誌,,言,14,6,,,magazine
802,雌,,隹,14,S,,,female
803,摯,,手,15,S,2010.0,,sincerity
804,賜,,貝,15,S,,,gift
805,諮,,言,16,S,,,consultation
806,示,,示,5,5,,,indication
807,字,,子,6,1,,,"the ... word (i.e. ""the L word"" = ""love"")"
808,寺,,寸,6,2,,,temple (Buddhist)
809,次,,欠,6,3,,,next
810,耳,,耳,6,1,,,selvedge (non-fray machined edge of fabrics)
811,自,,自,6,2,,,from ...
812,似,,人,7,5,,,similar to
813,児,兒,儿,7,4,,,(after a noun or -masu stem) -er (often of young women)
814,事,,亅,8,3,,,workmen's chant while pulling a heavy vehicle ahead of a troop
815,侍,,人,8,S,,,samurai
816,治,,水,8,4,,,cure
817,持,,手,9,3,,,hold
818,時,,日,10,2,,,time of -
819,滋,,水,12,S,,,"shigeru (species of flowering plant, Undaria pinnatifida)"
820,慈,,心,13,S,,,charity
821,辞,辭,辛,13,4,,,remark
822,磁,,石,14,6,,,porcelain (esp. hard-paste porcelain)
823,餌,,食,15,S,2010.0,,feed
824,璽,,玉,19,S,,,emperor's seal
825,鹿,,鹿,11,S,2010.0,,deer
826,式,,弋,6,3,,,equation
827,識,,言,19,5,,,consciousness
828,軸,,車,12,S,,,axis
829,七,,一,2,1,,,seven
830,𠮟,,口,5,S,2010.0,,noun read using its on-yomi
831,失,,大,5,4,,,loss
832,室,,宀,9,2,,,greenhouse
833,疾,,疒,10,S,,,early ...
834,執,,土,11,S,,,attachment
835,湿,濕,水,12,S,,,dampness
836,嫉,,女,13,S,2010.0,,jealousy
837,漆,,水,14,S,,,lacquer
838,質,,貝,15,5,,,quality
839,実,實,宀,8,3,,,"(in broth) pieces of meat, vegetable, etc."
840,芝,,艸,6,S,,,turf
841,写,寫,宀,5,3,,,copy
842,社,社,示,7,2,,,regional Chinese god of the earth (or a village built in its honour)
843,車,,車,7,1,,,car
844,舎,舍,舌,8,5,,,hut
845,者,者,老,8,3,,,person
846,射,,寸,10,6,,,arrow
847,捨,,手,11,6,,,discard
848,赦,,赤,11,S,,,"(after a -masu stem, esp. of a suru verb) continuing as long as"
849,斜,,斗,11,S,,,oblique
850,煮,煮,火,12,S,,,stew
851,遮,,辵,14,S,1981.0,,"block (e.g. light, wind)"
852,謝,,言,17,5,,,thanking
853,邪,,邑,8,S,,,wicked
854,蛇,,虫,11,S,1981.0,,snake
855,尺,,尸,4,6,,,rule
856,借,,人,10,4,,,debt
857,酌,,酉,10,S,1981.0,,pouring alcohol
858,釈,釋,釆,11,S,,,exegesis
859,爵,,爪,17,S,,,peerage (hereditary title bestowed by the emperor)
860,若,,艸,8,6,,,child (esp. of the young son of someone of high social standing)
861,弱,,弓,10,2,,,the weak
862,寂,,宀,11,S,,,(entering into) nirvana
863,手,,手,4,1,,,hand (of cards)
864,主,,丶,5,3,,,proprietor (of a store)
865,守,,宀,6,3,,,babysitting
866,朱,,木,6,S,,,red
867,取,,又,8,3,,,last performer of the day (usu. the star performer)
868,狩,,犬,9,S,,,hunting
869,首,,首,9,2,,,head
870,殊,,歹,10,S,,,other
871,珠,,玉,10,S,,,"bead (of sweat, dew, etc.)"
872,酒,,酉,10,3,,,sake
873,腫,,肉,13,S,2010.0,,tumor
874,種,,禾,14,4,,,(biological) species
875,趣,,走,15,S,,,effect
876,寿,壽,士,7,S,,,longevity
877,受,,又,8,3,,,vedana (sensation)
878,呪,,口,8,S,2010.0,,mantra
879,授,,手,11,5,,,teaching
880,需,,雨,14,S,,,consumption
881,儒,,人,16,S,,,Confucianist
882,樹,,木,16,6,,,tree
883,収,收,攴,4,6,,,cocoon crop
884,囚,,囗,5,S,,,prisoner
885,州,,巛,6,3,,,state
886,舟,,舟,6,S,,,ship
887,秀,,禾,7,S,,,superlativeness
888,周,,口,8,4,,,counter for laps or circuits
889,宗,,宀,8,6,,,sect
890,拾,,手,9,3,,,ten (used in legal documents)
891,秋,,禾,9,2,,,autumn
892,臭,臭,自,9,S,,,smacking of
893,修,,人,10,5,,,repair
894,袖,,衣,10,S,2010.0,,sleeve
895,終,,糸,11,3,,,the end
896,羞,,羊,11,S,2010.0,,shame
897,習,,羽,11,3,,,the way life normally is
898,週,,辵,11,2,,,week
899,就,,尢,12,6,,,inauguration
900,衆,,血,12,6,,,the people
901,集,,隹,12,3,,,collection
902,愁,,心,13,S,,,lamentation
903,酬,,酉,13,S,,,reward
904,醜,,酉,17,S,,,ugliness
905,蹴,,足,19,S,2010.0,,kick
906,襲,,衣,22,S,,,layers of clothing worn under one's overcoat
907,十,,十,2,1,,,ten
908,汁,,水,5,S,1981.0,,juice
909,充,,儿,6,S,,,sufficiency
910,住,,人,7,3,,,living
911,柔,,木,9,S,,,softness
912,重,,里,9,3,,,important
913,従,從,彳,10,6,,,lower
914,渋,澁,水,11,S,,,astringent (puckery) juice (of unripe persimmons)
915,銃,,金,14,S,,,gun
916,獣,獸,犬,16,S,,,beast
917,縦,縱,糸,16,6,,,(weaving) warp
918,叔,,又,8,S,,,uncle (one's father's younger brother)
919,祝,祝,示,9,4,,,celebration
920,宿,,宀,11,3,,,"outcasts (those from Kamakura period to the Edo period, common around the Kyoto region)"
921,淑,,水,11,S,,,lady
922,粛,肅,聿,11,S,,,solemnity
923,縮,,糸,17,6,,,counter for suits of armour
924,塾,,土,14,S,1981.0,,juku
925,熟,,火,15,6,,,thoroughly
926,出,,凵,5,1,,,coming out
927,述,,辵,8,5,,,statement (of a carefully reasoned logical argument)
928,術,,行,11,5,,,art
929,俊,,人,9,S,,,genius
930,春,,日,9,2,,,spring
931,瞬,,目,18,S,,,instant
932,旬,,日,6,S,,,ten-day period
933,巡,,巛,6,S,,,"counter for tours, cycles, rounds, circuits, etc."
934,盾,,目,9,S,,,shield
935,准,,冫,10,S,,,associate
936,殉,,歹,10,S,,,martyrdom
937,純,,糸,10,6,,,pure
938,循,,彳,12,S,,,patrolling
939,順,,頁,12,4,,,order
940,準,,水,13,5,,,associate
941,潤,,水,15,S,,,moisture
942,遵,,辵,15,S,,,obeying
943,処,處,虍,5,6,,,have just done
944,初,,刀,7,4,,,first
945,所,,戶,8,3,,,(after past form of a verb) was just doing
946,書,,曰,10,2,,,document
947,庶,,广,11,S,,,common people
948,暑,暑,日,12,3,,,midsummer
949,署,署,网,13,6,,,station (esp. a police station)
950,緒,緖,糸,14,S,,,"string (of a musical instrument, bow, etc.)"
951,諸,諸,言,15,6,,,various
952,女,,女,3,1,,,female
953,如,,女,6,S,,,like
954,助,,力,7,3,,,help
955,序,,广,7,5,,,order
956,叙,敍,攴,9,S,,,description
957,徐,,彳,10,S,,,Xu (dynasty of China; perhaps mythological)
958,除,,阜,10,6,,,removal
959,小,,小,3,1,,,small
960,升,,十,4,S,,,"box (seating at a theatre, etc.)"
961,少,,小,4,2,,,small
962,召,,口,5,S,,,call
963,匠,,匚,6,S,,,artisan
964,床,,广,7,S,,,floor
965,抄,,手,7,S,,,excerpt
966,肖,,肉,7,S,,,portrait
967,尚,,小,8,S,1981.0,,furthermore
968,招,,手,8,5,,,invitation
969,承,,手,8,5,,,second line of a four-line Chinese poem
970,昇,,日,8,S,,,ascending (path)
971,松,,木,8,4,,,pine tree (Pinus spp.)
972,沼,,水,8,S,,,pond
973,昭,,日,9,3,,,"Shou (dynasty of China, approx. 1804-1813 CE)"
974,宵,,宀,10,S,1981.0,,early night
975,将,將,寸,10,6,,,general
976,消,,水,10,3,,,extinguishing
977,症,,疒,10,S,,,illness
978,祥,祥,示,10,S,,,good omen
979,称,稱,禾,10,S,,,name
980,笑,,竹,10,4,,,LOL!
981,唱,,口,11,4,,,advocacy
982,商,,口,11,3,,,dealing
983,渉,涉,水,11,S,,,(in Japan) 10th note of the ancient chromatic scale (approx. B)
984,章,,立,11,3,,,chapter
985,紹,,糸,11,S,,,introduction
986,訟,,言,11,S,,,litigation
987,勝,,力,12,3,,,win
988,掌,,手,12,S,,,palm (of one's hand)
989,晶,,日,12,S,,,crystal
990,焼,燒,火,12,4,,,tempering
991,焦,,火,12,S,,,jiao (monetary unit of China; one-tenth of a yuan)
992,硝,,石,12,S,,,nitre (glass)
993,粧,,米,12,S,,,make-up
994,詔,,言,12,S,,,imperial edict
995,証,證,言,12,5,,,testify (usu. Christian religious context)
996,象,,豕,12,4,,,phenomenon
997,傷,,人,13,6,,,scratch
998,奨,奬,大,13,S,,,encouragement
999,照,,火,13,4,,,light
1000,詳,,言,13,S,,,details
1001,彰,,彡,14,S,,,commendation
1002,障,,阜,14,6,,,obstacle
1003,憧,,心,15,S,2010.0,,longing
1004,衝,,行,15,S,,,important point (e.g. on a route)
1005,賞,,貝,15,4,,,award
1006,償,,人,17,S,,,atonement
1007,礁,,石,17,S,,,reef
1008,鐘,,金,20,S,,,chime
1009,上,,一,3,1,,,first volume (e.g. book)
1010,丈,,一,3,S,,,length (esp. of clothing)
1011,冗,,冖,4,S,,,uselessness
1012,条,條,木,7,5,,,counter for long thin things
1013,状,狀,犬,7,5,,,letter
1014,乗,乘,丿,9,3,,,counter for vehicles
1015,城,,土,9,6,,,castle
1016,浄,淨,水,9,S,,,cleanliness
1017,剰,剩,刀,11,S,,,besides (usu. negative nuance)
1018,常,,巾,11,5,,,as is
1019,情,,心,11,5,,,the way things really are
1020,場,,土,12,2,,,"scene (of a play, movie, etc.)"
1021,畳,疊,田,12,S,,,tatami mat
1022,蒸,,艸,13,6,,,steam
1023,縄,繩,糸,15,S,1981.0,,policeman's rope
1024,壌,壤,土,16,S,1981.0,,loam
1025,嬢,孃,女,16,S,,,(after a line of work) -ess
1026,錠,,金,16,S,,,tablet
1027,譲,讓,言,20,S,,,transfer
1028,醸,釀,酉,20,S,,,brewing
1029,色,,色,6,2,,,variety
1030,拭,,手,9,S,2010.0,,wiping
1031,食,,食,9,2,,,"eclipse (solar, lunar, etc.)"
1032,植,,木,12,3,,,planting
1033,殖,,歹,12,S,,,increase
1034,飾,,食,13,S,,,decoration
1035,触,觸,角,13,S,,,contact
1036,嘱,囑,口,15,S,,,entrusting (with)
1037,織,,糸,18,5,,,weaving
1038,職,,耳,18,5,,,agency (government department between a ministry and a bureau under the ritsuryo system)
1039,辱,,辰,10,S,,,embarrassment
1040,尻,,尸,5,S,2010.0,,ass
1041,心,,心,4,2,,,mind
1042,申,,田,5,3,,,"ninth sign of Chinese zodiac (The Monkey, 5pm-7pm, west, August)"
1043,伸,,人,7,S,,,elongation
1044,臣,,臣,7,4,,,I (used by a servant when speaking to his master)
1045,芯,,艸,7,S,2010.0,,core
1046,身,,身,7,3,,,"meat (as opposed to bone, skin, etc.)"
1047,辛,,辛,7,S,,,8th in rank
1048,侵,,人,9,S,,,invasion
1049,信,,人,9,4,,,trust
1050,津,,水,9,S,,,port
1051,神,神,示,9,3,,,god
1052,唇,,口,10,S,1981.0,,lips
1053,娠,,女,10,S,,,pregnancy
1054,振,,手,10,S,,,unsewn part of a hanging sleeve on a traditional Japanese woman's garment
1055,浸,,水,10,S,,,immersion
1056,真,眞,目,10,3,,,true
1057,針,,金,10,6,,,staple (for a stapler)
1058,深,,水,11,3,,,latening
1059,紳,,糸,11,S,,,gentleman
1060,進,,辵,11,3,,,(before a verb in negative form) (will not) easily
1061,森,,木,12,1,,,shrine grove
1062,診,,言,12,S,,,medical examination
1063,寝,寢,宀,13,S,,,sleep
1064,慎,愼,心,13,S,,,慎慎慎慎慎慎慎慎慎慎慎慎慎慎慎慎慎慎慎慎慎慎慎
1065,新,,斤,13,2,,,new
1066,審,,宀,15,S,,,"instance (e.g. first instance, second instance, etc.)"
1067,震,,雨,15,S,,,"zhen (one of the trigrams of the I Ching: thunder, east)"
1068,薪,,艸,16,S,,,firewood
1069,親,,見,16,2,,,parent
1070,人,,人,2,1,,,"-ian (e.g. Italian, etc.) (attaches to name of country)"
1071,刃,,刀,3,S,,,blade
1072,仁,,人,4,6,,,benevolence (esp. as a virtue of Confucianism)
1073,尽,盡,皿,6,S,,,"based on (mutual consent, etc.)"
1074,迅,,辵,6,S,,,impetuousness
1075,甚,,甘,9,S,1981.0,,甚甚 (one of the six supernormal Buddhist powers)
1076,陣,,阜,10,S,,,battle
1077,尋,,寸,12,S,,,fathom
1078,腎,,肉,13,S,2010.0,,kidney
1079,須,,頁,12,S,2010.0,,"counter for long, thin things (i.e. swords)"
1080,図,圖,囗,7,2,,,figure
1081,水,,水,4,1,,,"water (esp. cool, fresh water, e.g. drinking water)"
1082,吹,,口,7,S,,,"player (e.g. of music, instrument, etc.)"
1083,垂,,土,8,6,,,zigzag-shaped paper streamer often used to adorn Shinto-related objects
